Designator,Mid X,Mid Y,Layer,Rotation
"C1","-36.172mm","18.7872mm","Top",0
"C2","-36.172mm","20.4872mm","Top",0
"C3","-22.982mm","-8.21mm","Top",0
"C4","-20.162mm","-5.3911mm","Top",180
"C5","-22.982mm","-3.9878mm","Top",0
"C6","-38.342mm","2.2622mm","Top",180
"C7","-38.342mm","-1.0878mm","Top",180
"C8","-43.892mm","11.3572mm","Top",180
"C9","-40.417mm","8.8372mm","Top",90
"C10","-43.892mm","12.6872mm","Top",180
"C11","-43.717mm","14.3372mm","Top",0
"D1","-44.667mm","17.8872mm","Top",90
"J1","-41.267mm","24.2897mm","Top",180
"KY037","30.0229mm","-13.3568mm","Top",0
"LED1","-32.667mm","4.8372mm","Top",180
"PIR1","-32.667mm","-13.1628mm","Top",0
"R1","-20.112mm","-3.9878mm","Top",180
"R2","-23.032mm","-6.8175mm","Top",180
"R3","-23.032mm","-5.3911mm","Top",0
"R4","-38.292mm","-3.2378mm","Top",0
"R5","-33.092mm","1.6872mm","Top",90
"R6","-31.767mm","1.6872mm","Top",90
"R7","-34.417mm","1.6872mm","Top",90
"R8","-42.667mm","18.7872mm","Top",270
"R9","-40.017mm","18.7872mm","Top",270
"SW1","-43.317mm","3.3372mm","Top",0
"SW2","-43.317mm","-2.1628mm","Top",0
"U1","-4.8074mm","15.4637mm","Top",0
"U1","-26.667mm","16.2372mm","Top",0
"U2","7.4292mm","-9.3399mm","Top",0
"U2","-43.317mm","8.8372mm","Top",0
"U3","-13.8728mm","-2.1514mm","Top",0
"U3","-21.667mm","1.0372mm","Top",90
"U4","-12.4725mm","9.4646mm","Top",0
"U5","15.4638mm","-15.605mm","Top",0
"US1","10.7442mm","6.3251mm","Top",0
